"","Latitude","Longitude","Borough","Job.Type","Permit.Type","Job.Number","BIN","Permit.Filing.Status","Job.Type2","Cost.Estimate","Enlargement.Flag","Square.Footage","Permit.Issuance.Date","Permit.Expiration.Date","Job.Location.House.Number","Job.Location.Street.Name","Community.Board","General.Contractor","Proposed.Occupancy.Class","Proposed.Stories","Proposed.Dwelling.Units","Accident_Pred","Accident_Prob.0","Accident_Prob.1"
"363",40.60776,-74.09965,"Staten Island","NB","New Building","520317489","5170202","I","NB",   334776,"No",   2262,"2018-05-02","2019-03-15","95","HEWITT AVE","502","AGP ENTERPRISES INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"364",40.60779,-74.09966,"Staten Island","NB","New Building","520317498","5170201","I","NB",   319236,"No",   2157,"2018-05-02","2019-03-15","93","HEWITT AVE","502","AGP ENTERPRISES INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"365",40.60790,-73.92039,"Brooklyn","NB","New Building","321437487","3423979","I","NB",  7873600,"No",  53200,"2018-04-05","2019-01-31","2570","FLATBUSH AVENUE","318","RACANELLI CONSTRUCTION CO","MERCANTILE", 2,NA,"0",0.994834788,0.005165212
"366",40.60819,-73.98776,"Brooklyn","NB","New Building","321193588","3160445","I","NB",  2367408,"No",  15996,"2018-06-19","2018-09-22","7504","BAY PARKWAY","311","FUNG TAI CONSTRUCTION INC","RESIDENTIAL: APARTMENT HOUSES", 6, 10,"0",0.994834788,0.005165212
"367",40.60894,-73.96542,"Brooklyn","A1","ALT 1 Enlargement","320913972","3176170","I","A1",   391495,"Yes",   2428,"2018-04-26","2018-09-01","1626","EAST 8TH STREET","315","TCS CONSTRUCTION CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"368",40.60928,-74.12818,"Staten Island","NB","New Building","520328093","5018239","I","NB",   304140,"No",   2055,"2018-05-23","2019-04-12","120","CLERMONT PLACE","501","BRADLEY ASSOCIATES OF STA","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"369",40.60935,-74.12797,"Staten Island","NB","New Building","520328100","5170548","I","NB",   304140,"No",   2055,"2018-05-23","2019-04-12","122","CLERMONT PLACE","501","BRADLEY ASSOCIATES OF STA","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"370",40.60943,-74.12798,"Staten Island","NB","New Building","520292736","5169906","I","NB",   359492,"No",   2429,"2018-04-20","2019-04-12","118","CLERMONT PLACE","501","BRADLEY ASSOCIATES OF STA","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"371",40.60951,-74.12799,"Staten Island","NB","New Building","520292727","5169905","I","NB",   359492,"No",   2429,"2018-04-20","2019-04-12","114","CLERMONT PLACE","501","BRADLEY ASSOCIATES OF STA","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"372",40.60981,-73.81860,"Queens","NB","New Building","420663151","4297277","I","NB",   178340,"No",   1205,"2018-07-12","2019-07-12","544","CROSS BAY BLVD","414","ROCKAWAY BEACH BLVD CON C","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"373",40.61010,-73.90515,"Brooklyn","A1","ALT 1 Enlargement","321533122","3243314","I","A1",   524298,"Yes",   1145,"2018-05-04","2018-11-01","50","BARLOW DRIVE NORTH","318","PARTINICO CONSTRUCTION CO","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"374",40.61015,-74.00246,"Brooklyn","NB","New Building","321190778","3164597","I","NB",   977392,"No",   6604,"2017-10-19","2018-09-22","8154","BAY 16TH STREET","311","FUNG TAI CONSTRUCTION INC","RESIDENTIAL: APARTMENT HOUSES", 4,  6,"0",0.994834788,0.005165212
"375",40.61073,-74.14277,"Staten Island","NB","New Building","520311984","5018909","I","NB",   266252,"No",   1799,"2018-04-05","2018-09-16","2384","VICTORY BOULEVARD","501","KANG SUK CONSTRUCTION INC","BUSINESS", 2,  0,"0",0.994834788,0.005165212
"376",40.61092,-73.90527,"Brooklyn","A1","ALT 1 Enlargement","321759922","3243338","I","A1",   388000,"Yes",   1692,"2018-07-13","2018-12-07","37","BARLOW DRIVE NORTH","318","DELTAMER, INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"377",40.61114,-74.14655,"Staten Island","A1","ALT 1 Enlargement","520293325","5013163","I","A1",   496093,"Yes",   2944,"2018-07-03","2019-03-20","519","WILLOWBROOK RD","501","NICOLOSI BROS INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"378",40.61206,-74.07649,"Staten Island","NB","New Building","520313349","5044140","I","NB",   331076,"No",   2237,"2018-06-15","2019-03-20","289","ST MARYS AVENUE","501","NICOLOSI BROS INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"379",40.61206,-74.07649,"Staten Island","NB","New Building","520313358","5158320","I","NB",   331076,"No",   2237,"2018-06-12","2019-03-20","291","ST MARYS AVENUE","501","NICOLOSI BROS INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"380",40.61255,-73.82052,"Queens","NB","New Building","420663311","4430534","I","NB",   269360,"No",   1820,"2018-06-13","2018-09-01","329","BERT ROAD","414","LMD RESIDENTIAL INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"381",40.61264,-73.90944,"Brooklyn","A1","ALT 1 Enlargement","321688697","3243586","I","A1",   368000,"Yes",   3198,"2018-02-07","2018-09-04","2317","EAST 63 ST","318","EUROREMONT INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"382",40.61266,-74.13201,"Staten Island","NB","New Building","520294486","5012399","I","NB",   523920,"No",   3540,"2018-03-01","2019-02-02","2055","VICTORY BLVD","501","AL DIBIASI BUILDERS LLC","INSTITUTION: DAY CARE", 1,NA,"0",0.994834788,0.005165212
"383",40.61278,-73.91438,"Brooklyn","NB","New Building","321215635","3334404","I","NB",  7980308,"No",  53921,"2018-07-31","2019-03-17","2150","MILL AVE","318","PSG CONSTRUCTION CO.,INC","RESIDENTIAL: APARTMENT HOUSES", 6, 50,"0",0.994834788,0.005165212
"384",40.61301,-73.96557,"Brooklyn","A1","ALT 1 Enlargement","321191205","3173956","I","A1",   406240,"Yes",   2062,"2018-04-19","2019-02-06","1473","EAST 8TH STREET","312","BUILDERS JOSEPH AND SONS","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"385",40.61304,-73.97042,"Brooklyn","A1","ALT 1 Enlargement","321660289","3173751","I","A1",   449215,"Yes",   1660,"2018-07-09","2019-02-26","1541","EAST 4TH ST","312","G BUILDERS MANAGEMENT INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"386",40.61313,-74.11151,"Staten Island","A1","ALT 1 Enlargement","520329458","5017025","I","A1",   155000,"Yes",   1298,"2018-06-13","2019-02-05","56","WALTERS AVENUE","501","PROBUILDERO CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"387",40.61327,-74.16161,"Staten Island","NB","New Building","520303190","5169721","I","NB",   545084,"No",   3683,"2017-10-16","2018-10-16","78","LANDER AVENUE","502","KRAMER ENTERPRISES INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"388",40.61330,-74.16174,"Staten Island","NB","New Building","520303207","5031393","I","NB",   529100,"No",   3575,"2017-10-16","2018-10-16","80","LANDER AVENUE","502","KRAMER ENTERPRISES INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"389",40.61377,-73.97211,"Brooklyn","A1","ALT 1 Enlargement","321573631","3173578","I","A1",   594000,"Yes",   1307,"2018-04-16","2019-01-14","1500","EAST 3 STREET","312","CEDARS CONSTRUCTION CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"390",40.61415,-74.16750,"Staten Island","A1","ALT 1 Enlargement","520312331","5031311","I","A1",   220940,"Yes",   1777,"2018-02-15","2019-02-12","246","LANDER AVENUE","502","SPHINX CONSTRUCTION INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"391",40.61422,-73.90840,"Brooklyn","A1","ALT 1 Enlargement","321674531","3243458","I","A1",   349050,"Yes",   1268,"2018-03-14","2019-01-14","2263","E. 65 ST.","318","CEDARS CONSTRUCTION CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"392",40.61455,-74.10622,"Staten Island","A1","ALT 1 Enlargement","520277584","5016858","I","A1",    75900,"Yes",    400,"2017-09-15","2018-08-23","23","LABAU AVENUE","501","J.M.C. CONTRACTING CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"393",40.61467,-74.13905,"Staten Island","A1","ALT 1 Enlargement","520306473","5012626","I","A1",   130975,"Yes",    393,"2018-05-15","2018-11-01","371","LIVERMORE AVENUE","501","SERVIDIO INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"394",40.61477,-74.12682,"Staten Island","A1","ALT 1 Enlargement","520312652","5010611","I","A1",   233625,"Yes",   1267,"2018-01-19","2018-08-28","120","KEMBALL AVENUE","501","DIBENEDETTO CONSTRUCTION*","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"395",40.61501,-74.09943,"Staten Island","A1","ALT 1 Enlargement","520320279","5015548","I","A1",   265065,"Yes",    980,"2018-01-16","2018-08-23","56","ALPINE AVENUE","501","RGR CONSTRUCTION LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"396",40.61505,-73.97380,"Brooklyn","NB","New Building","321519576","3172689","I","NB",  6565872,"No",  44364,"2018-06-15","2019-06-15","1571","MCDONALD AVE","312","RYBAK DEVELOPMENT AND CON","ASSEMBLY: OTHER", 1,NA,"0",0.994834788,0.005165212
"397",40.61512,-74.02441,"Brooklyn","NB","New Building","320932871","3156347","I","NB",  2099232,"No",  14184,"2017-08-23","2018-08-23","670","92ND STREET","310","THE GREEK SCHOOL OF PLATO","EDUCATIONAL", 3,NA,"0",0.994834788,0.005165212
"398",40.61513,-74.16140,"Staten Island","A1","ALT 1 Enlargement","520319496","5031672","I","A1",   289590,"Yes",   1160,"2018-06-07","2019-03-12","29","ROMAN AVENUE","502","STOUT HOMES INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"399",40.61521,-74.18349,"Staten Island","NB","New Building","520335272","5166782","I","NB",    28712,"No",    194,"2018-07-16","2019-07-16","586","GULF AVENUE","502","MATRIX DEVELOPMENT GROUP","BUSINESS", 1,NA,"1",0.065000000,0.935000000
"400",40.61616,-74.06797,"Staten Island","A1","ALT 1 Enlargement","520316202","5170440","I","A1",   470000,"Yes",   1969,"2018-04-03","2018-12-29","6","ST MARYS AVENUE","501","TREND 21 MANAGEMENT INC","BUSINESS", 1,NA,"0",0.994834788,0.005165212
"401",40.61669,-73.98255,"Brooklyn","A1","ALT 1 Enlargement","321636547","3132923","I","A1",   310218,"Yes",      0,"2018-05-29","2019-03-30","2075","63 STREET","311","OZ BOSPH CONSTRUCTION COR","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"402",40.61688,-73.98381,"Brooklyn","A1","ALT 1 Enlargement","321660172","3133270","I","A1",   323000,"Yes",   1055,"2018-06-07","2019-02-15","2040","63 STREET","311","MBW CONSTRUCTION INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"403",40.61757,-74.06992,"Staten Island","NB","New Building","520309345","5042539","I","NB",   390720,"No",   2640,"2017-12-12","2018-10-30","62","LYNHURST AVENUE","501","WALLACE AVENUE CONSTR LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"404",40.61782,-74.06995,"Staten Island","NB","New Building","520309336","5169752","I","NB",   390720,"No",   2640,"2017-12-12","2018-10-30","60","LYNHURST AVENUE","501","WALLACE AVENUE CONSTR LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"405",40.61789,-74.14192,"Staten Island","A1","ALT 1 Enlargement","520278280","5029045","I","A1",   149746,"Yes",    908,"2018-04-04","2019-03-20","245","CRYSTAL AVENUE","501","NICOLOSI BROS INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"406",40.61796,-73.94487,"Brooklyn","A1","ALT 1 Enlargement","321435452","3210342","I","A1",  6600000,"Yes",  31184,"2018-05-30","2019-03-01","2721","NOSTRAND AVE","318","COLE PARTNERS INC","BUSINESS", 1,NA,"0",0.994834788,0.005165212
"407",40.61797,-73.99471,"Brooklyn","A1","ALT 1 Enlargement","321606473","3156674","I","A1",   703540,"Yes",   1159,"2018-07-17","2019-05-17","1702","BAYRIDGE AVENUE","311","T&S HOME IMPROVEMENT INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"408",40.61812,-74.01947,"Brooklyn","A1","ALT 1 Enlargement","320910154","3153283","I","A1",  1036000,"Yes",   1099,"2018-04-19","2018-08-31","1022","85TH STREET","310","ATLAS DEVELOPERS LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"409",40.61814,-73.96146,"Brooklyn","A1","ALT 1 Enlargement","320812395","3421764","I","A1",  2126941,"Yes",      0,"2018-05-17","2019-04-08","1321","AVENUE M","314","SNL CONSTRUCTION LLC","STORAGE: MODERATE HAZARD", 4,NA,"0",0.994834788,0.005165212
"410",40.61840,-74.00311,"Brooklyn","A1","ALT 1 Enlargement","321643986","3159471","I","A1",   932000,"Yes",   1828,"2018-03-30","2018-11-17","1464","74 ST","311","T&S HOME IMPROVEMENT INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  2,"0",0.994834788,0.005165212
"411",40.61856,-73.90395,"Brooklyn","A1","ALT 1 Enlargement","321131020","3237952","I","A1",   517232,"Yes",   2279,"2018-03-13","2018-10-27","2218","EAST 73RD STREET","318","PRECISION CONSTRUCTION OF","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"412",40.61873,-74.08911,"Staten Island","A1","ALT 1 Enlargement","520275078","5015976","I","A1",   320000,"Yes",   1339,"2018-02-27","2019-02-01","45","SIGNAL HILL ROAD","501","JACOBSON CONTRACTING,INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"413",40.61876,-73.99387,"Brooklyn","A1","ALT 1 Enlargement","321189227","3134615","I","A1",   100000,"Yes",   1320,"2018-05-30","2019-04-26","6709","17 AVENUE","311","HIGH QUALITY CONSTRUCTION","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  2,"0",0.994834788,0.005165212
"414",40.61877,-73.90425,"Brooklyn","A1","ALT 1 Enlargement","320992887","3237949","I","A1",   388810,"Yes",    397,"2018-07-17","2018-11-16","7216","AVE V","318","NACCARATO CONTRACTING INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"415",40.61919,-74.18819,"Staten Island","NB","New Building","520314892","5170188","I","NB", 22196892,"No", 149979,"2018-07-12","2019-07-12","550 GAR","GULF AVENUE","502","MATRIX CONSTRUCTION SERVI","STORAGE: LOW HAZARD", 5,NA,"1",0.311627907,0.688372093
"416",40.61961,-74.12382,"Staten Island","NB","New Building","520223598","5010161","I","NB",    44696,"No",    302,"2018-05-07","2019-05-07","340","MANOR ROAD","501","PROJECT EYE CONSULTANTS I","UTILITY / MISCELLANEOUS", 1,NA,"0",0.994834788,0.005165212
"417",40.61985,-73.91953,"Brooklyn","A1","ALT 1 Enlargement","320917433","3220425","I","A1",   143635,"Yes",   1177,"2018-06-29","2019-04-10","1416","EAST 58 STREET","318","SEGA CONTRACTING CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  2,"0",0.994834788,0.005165212
"418",40.62023,-74.00162,"Brooklyn","A1","ALT 1 Enlargement","320910341","3157727","I","A1",   560000,"Yes",   3031,"2018-06-05","2019-02-25","1456","71 STREET","311","KTC DESIGN GROUP INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"419",40.62024,-74.00465,"Brooklyn","A1","ALT 1 Enlargement","321783094","3158863","I","A1",   575000,"Yes",   1181,"2018-07-19","2019-07-11","1370","73 STREET","310","STAR UNIVERSE RENOVATION*","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"420",40.62027,-73.96800,"Brooklyn","A1","ALT 1 Enlargement","321664953","3171410","I","A1",   498660,"Yes",   1442,"2018-05-30","2019-02-26","1261","EAST 7 STREET","312","G BUILDERS MANAGEMENT INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"421",40.62049,-74.03862,"Brooklyn","NB","New Building","321585058","3154977","I","NB",  3204200,"No",  21650,"2018-03-12","2019-03-12","60","92ND STREET","310","SAPOL CONSTRUCTION LLC","RESIDENTIAL: APARTMENT HOUSES", 8, 14,"0",0.994834788,0.005165212
"422",40.62109,-73.96411,"Brooklyn","A1","ALT 1 Enlargement","321632596","3180221","I","A1",   506460,"Yes",      0,"2018-05-24","2019-05-10","1497","CONEY ISLAND AVENUE","314","INGENUITY CONSTRUCTION CO","BUSINESS", 2,NA,"0",0.994834788,0.005165212
"423",40.62139,-73.95519,"Brooklyn","NB","New Building","321684762","3208313","I","NB",  4935208,"No",  33346,"2018-07-30","2018-10-11","1673","OCEAN AVE","314","YM PRO CORP","RESIDENTIAL: APARTMENT HOUSES", 8, 49,"0",0.994834788,0.005165212
"424",40.62155,-73.98444,"Brooklyn","A1","ALT 1 Enlargement","321619904","3253296","I","A1",   659000,"Yes",   1859,"2018-04-11","2018-11-26","1883","59 STREET","312","GLOBAL HOME IMPROVEMENTS","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"425",40.62162,-74.03397,"Brooklyn","A1","ALT 1 Enlargement","321672123","3154109","I","A1",   322900,"Yes",    135,"2018-08-03","2018-10-01","222","89 STREET","310","N & F FRASCA CONTRACTING","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"426",40.62191,-74.12165,"Staten Island","A1","ALT 1 Enlargement","520273891","5008775","I","A1",   346500,"Yes",    759,"2018-01-29","2018-11-01","26","COLLEGE AVENUE","501","SERVIDIO INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"427",40.62206,-73.98621,"Brooklyn","A1","ALT 1 Enlargement","321696697","3131825","I","A1",   466000,"Yes",    699,"2018-07-13","2018-11-18","1824","59 STREET","312","COUNTYWIDE BUILDERS INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"428",40.62243,-73.99205,"Brooklyn","NB","New Building","321557775","3425921","I","NB",   497280,"No",   3360,"2018-06-14","2019-03-30","1661","63RD STREET","311","OZ BOSPH CONSTRUCTION COR","MERCANTILE", 2,  0,"0",0.994834788,0.005165212
"429",40.62310,-74.01324,"Brooklyn","A1","ALT 1 Enlargement","321574989","3149046","I","A1",   214000,"Yes",    117,"2017-11-14","2018-09-16","1049","76 STREET","310","GARY ALLEN MODULAR HOMES","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"430",40.62319,-73.95232,"Brooklyn","A1","ALT 1 Enlargement","320625597","3208405","I","A1",  1062000,"Yes",   2030,"2017-09-07","2018-09-07","1120","EAST 24TH STREET","314","GREENLINE DEVELOPERS LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"431",40.62351,-74.08360,"Staten Island","NB","New Building","520279742","5166593","I","NB",   182780,"No",   1235,"2018-06-12","2019-06-12","275","BROAD STREET","501","H DEVELOPMENT GROUP LLC","MERCANTILE", 1,  0,"0",0.994834788,0.005165212
"432",40.62360,-74.08347,"Staten Island","NB","New Building","520279760","5166591","I","NB",   317016,"No",   2142,"2018-06-12","2019-06-01","267","BROAD STREET","501","H DEVELOPMENT GROUP LLC","MERCANTILE", 3,  2,"0",0.994834788,0.005165212
"433",40.62363,-74.08355,"Staten Island","NB","New Building","520279751","5166592","I","NB",   317016,"No",   2142,"2018-06-12","2019-06-01","271","BROAD STREET","501","H DEVELOPMENT GROUP LLC","MERCANTILE", 3,  2,"0",0.994834788,0.005165212
"434",40.62374,-74.10534,"Staten Island","A1","ALT 1 Enlargement","520302075","5007580","I","A1",    32227,"Yes",    501,"2018-04-17","2019-04-17","27","PARK VIEW PLACE","501","N/A","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"435",40.62403,-74.13354,"Staten Island","A1","ALT 1 Enlargement","520328084","5011178","I","A1",   256980,"Yes",   1053,"2018-07-17","2019-04-04","69","BURNSIDE AVE","501","J.B.I. CONSTRUCTION GROUP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  2,"0",0.994834788,0.005165212
"436",40.62423,-73.97505,"Brooklyn","A1","ALT 1 Enlargement","321660216","3170628","I","A1",   506550,"Yes",   2374,"2018-08-09","2018-11-12","1072","EAST 2ND STREET","312","YATZIV CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.882221227,0.117778773
"437",40.62431,-73.98692,"Brooklyn","A1","ALT 1 Enlargement","321797258","3131193","I","A1",   706000,"Yes",   1744,"2018-07-26","2018-11-13","1738","57 STREET","312","CITYSCAPE BUILDERS LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"438",40.62448,-73.98267,"Brooklyn","A1","ALT 1 Enlargement","321535683","3130575","I","A1",   495005,"Yes",   2026,"2018-03-15","2018-11-18","1854","54 STREET","312","EASTGATE BUILDERS & DEVEL","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"439",40.62461,-73.92525,"Brooklyn","A1","ALT 1 Enlargement","320911279","3217836","I","A1",   685000,"Yes",   1700,"2018-07-09","2019-06-28","1433","EAST 52ND STREET","318","SHENG YEE CONSTR. INC","RESIDENTIAL: APARTMENT HOUSES", 3,  5,"0",0.994834788,0.005165212
"440",40.62476,-73.95355,"Brooklyn","A1","ALT 1 Enlargement","321232368","3254329","I","A1",   316629,"Yes",    404,"2017-10-24","2018-10-19","1052","EAST 23 STREET","314","ADASS INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"441",40.62506,-73.96439,"Brooklyn","A1","ALT 1 Enlargement","320910485","3179480","I","A1",  1355000,"Yes",    406,"2018-08-07","2019-06-29","1123","AVENUE J","314","SCHIMENTI CONSTRUCTION CO","BUSINESS", 2,NA,"0",0.826247689,0.173752311
"442",40.62514,-73.95109,"Brooklyn","A1","ALT 1 Enlargement","320915168","3207624","I","A1",   240200,"Yes",   1839,"2018-06-07","2018-11-13","3173","BEDFORD AVE","314","VINTAGE HOMES INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"443",40.62518,-73.96849,"Brooklyn","A1","ALT 1 Enlargement","321555660","3170888","I","A1",   170000,"Yes",    431,"2018-06-20","2019-05-10","990","EAST 8 STREET","312","ATTILIO DEVELOPERS CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"444",40.62522,-74.11145,"Staten Island","NB","New Building","520288894","5169462","I","NB",    44400,"No",    300,"2017-10-26","2018-10-26","31GAR","HOWE STREET","501","WALLACE AVENUE CONSTR LLC","UTILITY / MISCELLANEOUS", 1,  0,"0",0.994834788,0.005165212
"445",40.62522,-74.11137,"Staten Island","NB","New Building","520288901","5169464","I","NB",    44400,"No",    300,"2017-10-26","2018-10-26","27GAR","HOWE STREET","501","WALLACE AVENUE CONSTR LLC","UTILITY / MISCELLANEOUS", 1,  0,"0",0.994834788,0.005165212
"446",40.62523,-74.11131,"Staten Island","NB","New Building","520288910","5169466","I","NB",    44400,"No",    300,"2017-10-26","2018-10-26","23 GAR","HOWE STREET","501","WALLACE AVENUE CONSTR LLC","UTILITY / MISCELLANEOUS", 1,  0,"0",0.994834788,0.005165212
"447",40.62533,-73.94492,"Brooklyn","A1","ALT 1 Enlargement","321678350","3207978","I","A1",   346576,"Yes",     22,"2018-05-25","2019-04-07","1066","EAST 32 STREET","318","RELIANT BUILDERS CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"448",40.62536,-73.96303,"Brooklyn","A1","ALT 1 Enlargement","321743752","3179572","I","A1",   800000,"Yes",   5362,"2018-06-19","2018-10-20","1309","AVENUE J","314","B.H. CONTRACTOR INC","BUSINESS", 2,NA,"0",0.994834788,0.005165212
"449",40.62538,-74.11195,"Staten Island","NB","New Building","520288876","5169461","I","NB",   592740,"No",   4005,"2017-10-12","2018-10-12","31","HOWE STREET","501","WALLACE AVENUE CONSTR LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"450",40.62538,-74.11179,"Staten Island","NB","New Building","520288867","5169463","I","NB",   599400,"No",   4050,"2017-10-12","2018-10-12","27","HOWE STREET","501","WALLACE AVENUE CONSTR LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"451",40.62539,-74.11164,"Staten Island","NB","New Building","520288858","5169465","I","NB",   599400,"No",   4050,"2017-10-12","2018-10-12","23","HOWE STREET","501","WALLACE AVENUE CONSTR LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"452",40.62542,-73.97429,"Brooklyn","NB","New Building","320910430","3425908","I","NB",  1514484,"No",  10233,"2018-07-09","2018-10-07","1050","EAST 3 STREET","312","KAIETEUR CONSTRUCTION INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"453",40.62552,-73.95599,"Brooklyn","A1","ALT 1 Enlargement","321627600","3207481","I","A1",  2478781,"Yes",      0,"2018-01-31","2019-01-31","2002","AVENUE J","314","ADELPHI INNOVATIVE DESIGN","EDUCATIONAL", 4,NA,"0",0.994834788,0.005165212
"454",40.62591,-73.97807,"Brooklyn","A1","ALT 1 Enlargement","321584610","3129304","I","A1",   920330,"Yes",   2166,"2018-03-15","2018-09-10","1931","50 STREET","312","AIG BUILDERS INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
